"Key","Title","Type","Parent","Tagline","Description","Slogan","Category","First Trend Title","First Trend Description","First Trend Reference","Second Trend Title","Second Trend Description","Second Trend Reference","Third Trend Title","Third Trend Description","Third Trend Reference","Trend Notes","First Benefit Title","First Benefit Description","First Benefit Reference","Second Benefit Title","Second Benefit Description","Second Benefit Reference","Third Benefit Title","Third Benefit Description","Third Benefit Reference","Benefit Notes","Notes","Benefits","1St Trend Name","1St Trend Description","1St Trend Reference","2Nd Trend Name","2Nd Trend Description","2Nd Trend Reference","3Rd Trend Name","3Rd Trend Description","3Rd Trend Reference","Trends","Status","Priority","Template","File"
"academia","Academia","Project","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/sprouts/academia/_academia.md"
"aristotelian","Aristotelian Intelligence","Business","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_aristotelian.md"
"arthur_md","ArthurMD","Project","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_arthur_md.md"
"arthurian","Arthurian","Project","","this one","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active","1","v37","../../../entities/seeds/_arthurian.md"
"bescale","Bescale","Project","Tribesie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_bescale.md"
"besmash","Besmash","Project","Tribesie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_besmash.md"
"besprout","Besprout","Project","Tribesie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_besprout.md"
"clade","Clade: The Trading Card Game","Project","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_clade.md"
"clublucid","Club Lucid","Project","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_clublucid.md"
"creatoreconbook","Creator Economy: How to Thrive in the New Era of Business, Finance and Entrepreneurship","Project","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_creatoreconbook.md"
"creatoreconomy","Creator Economy","Project","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_creatoreconomy.md"
